protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,MTL,cosine,fit,ema,full,0.9992690341304711,0.003960195818614348,0.005248187204535234,0.0038102397850510172,0.0014286671129610645,0.02764172065001791,0.0013824304023956839,0.0039612209793593485,0.0009384547526849474,1647
strict,MTL,cosine,fit,ema,tail20,0.8185606161158954,0.002986405676137358,0.003580164732786782,0.0038102397850510172,0.0014286671129610645,0.009432752528909738,0.0011155291658090296,0.0029872449420647517,0.0003741133599910462,330
strict,MTL,cosine,fit,ema,decay,0.8185606161158954,0.002986405676137358,0.003580164732786782,0.0038102397850510172,0.0014286671129610645,0.009432752528909738,0.0011155291658090296,0.0029872449420647517,0.0003741133599910462,330
strict,MTL,cosine,fit,ema,final1000,-2.116770762509087,0.0035208245199176945,0.003947945224940993,0.0038102397850510172,0.0014286671129610645,0.008182848354346461,0.0013202208767353727,0.0034840836664926833,0.0032560993600760924,51
strict,MTL,cosine,fit,ema,stable,0.9992146664230722,0.004204197904428628,0.00558867849591006,0.0035533319380882666,0.001319318225170728,0.02764172065001791,0.001449307705412841,0.0042057631556410655,0.001267344257000591,1317
strict,MTL,cosine,fit,raw,full,0.9470096836822518,0.03345239433344821,0.043005836275915005,0.02462216498586489,0.00930480548733899,0.2170812440404477,0.011773465851436012,0.03339929633212397,0.0029000693881524597,1647
strict,MTL,cosine,fit,raw,tail20,0.039124281572986974,0.03134522242849813,0.03987979458044193,0.02462216498586489,0.00930480548733899,0.1378087511958599,0.011724459451329657,0.03137340872170101,0.0009411343814722528,330
strict,MTL,cosine,fit,raw,decay,0.039124281572986974,0.03134522242849813,0.03987979458044193,0.02462216498586489,0.00930480548733899,0.1378087511958599,0.011724459451329657,0.03137340872170101,0.0009411343814722528,330
strict,MTL,cosine,fit,raw,final1000,-0.042800426234226974,0.03422088441832977,0.043721396616703295,0.02462216498586489,0.00930480548733899,0.12268455321767702,0.012931467028356649,0.03407573054289789,0.008941943313410139,51
strict,MTL,cosine,fit,raw,stable,0.9471293766447878,0.03398038729368628,0.043754148280927586,0.003493100559496032,0.001296983894211111,0.2170812440404477,0.011785745359435327,0.03392240341450217,0.003390918706454471,1317
strict,MTL,wsd,test,ema,full,0.9636397348252403,0.0288159864532557,0.03456940020300233,0.004316908607826964,0.0016239129309932477,0.06337017693593738,0.010213231109729853,0.028830123506986254,0.02800572238813892,1647
strict,MTL,wsd,test,ema,tail20,0.6986764889417978,0.012516597274355888,0.018448170276712146,0.004316908607826964,0.0016239129309932477,0.056347766481222195,0.004578640274572921,0.012463791426441433,0.010224085746888267,330
strict,MTL,wsd,test,ema,decay,0.6741111248845313,0.013719402006719145,0.02035471029684301,0.004316908607826964,0.0016239129309932477,0.056347766481222195,0.005009265597642785,0.013670754623993281,0.011494317288881728,340
strict,MTL,wsd,test,ema,final1000,-1.4631233582377048,0.003992900673642996,0.004564628011912054,0.004316908607826964,0.0016239129309932477,0.01051823725329859,0.0014995319091956887,0.0040214398310174995,0.003944973329691681,51
strict,MTL,wsd,test,ema,stable,0.9579379355255644,0.03274317751050315,0.037391717587852924,0.05800409725266631,0.020882519788865378,0.06337017693593738,0.011566978832843551,0.03274344794478747,0.03230096166415164,1307
strict,MTL,wsd,test,raw,full,0.8987650849016108,0.04381482025112373,0.05546288617691495,0.018288635343606252,0.006938731172648353,0.21229058955585955,0.015442764663109572,0.04377139692658023,0.032209347355049545,1647
strict,MTL,wsd,test,raw,tail20,0.27463679062863877,0.034688243252805055,0.04436666669630355,0.018288635343606252,0.006938731172648353,0.13952185746339607,0.012883909922783049,0.03464255170955177,0.012076575329838857,330
strict,MTL,wsd,test,raw,decay,0.27926590444872734,0.03535040431708546,0.0452193423240214,0.018288635343606252,0.006938731172648353,0.13952185746339607,0.01311619171612247,0.0353745474307141,0.013403785450676331,340
strict,MTL,wsd,test,raw,final1000,0.0056867530992105175,0.033597657983330205,0.042705261802651856,0.018288635343606252,0.006938731172648353,0.11591623375390459,0.012694939280650797,0.03345819353075266,0.002138636628707946,51
strict,MTL,wsd,test,raw,stable,0.8882869378350461,0.04601673411307707,0.05783098575606407,0.02703198328645362,0.00962468070288179,0.21229058955585955,0.016047994044881275,0.04596034471621024,0.03710138335159696,1307
strict,MTL,811,extra_unseen,ema,full,0.9731201584419825,0.024659093391299142,0.030189622091282554,0.009024225931259178,0.0033880113051191776,0.05870637592247219,0.008750523236202573,0.024671238971363106,0.019391510123237587,1647
