protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,Tuned MTL,cosine,fit,ema,full,0.9988510145906326,0.0038180147739340625,0.006579880788583997,0.0008560804446258174,0.0003209913407771567,0.08812243099063366,0.001289174865070018,0.0037933056360581843,0.0002745854054784225,1647
strict,Tuned MTL,cosine,fit,ema,tail20,0.881063908336309,0.002220515852899103,0.0028986385281000223,0.0008560804446258174,0.0003209913407771567,0.010144006632866631,0.0008298100494807806,0.0022223174886125486,0.0007916725146848158,330
strict,Tuned MTL,cosine,fit,ema,decay,0.881063908336309,0.002220515852899103,0.0028986385281000223,0.0008560804446258174,0.0003209913407771567,0.010144006632866631,0.0008298100494807806,0.0022223174886125486,0.0007916725146848158,330
strict,Tuned MTL,cosine,fit,ema,final1000,-0.09307368772042945,0.0017661900740611393,0.0023379940843584247,0.0008560804446258174,0.0003209913407771567,0.0071173640991326614,0.0006618736128125757,0.0017518218931455375,0.0004708368067762869,51
strict,Tuned MTL,cosine,fit,ema,stable,0.9986915548080102,0.00421829924161936,0.007213728802335618,0.0004688048789898147,0.00017406277591757496,0.08812243099063366,0.0014042776662427198,0.004187845352034867,0.00014501915943521126,1317
strict,Tuned MTL,cosine,fit,raw,full,0.9505073683772697,0.03305034029550072,0.041562284859422614,0.019955844756188057,0.007541386141245578,0.1386755421229351,0.011679083721127755,0.033025407532883654,0.00411310954631583,1647
strict,Tuned MTL,cosine,fit,raw,tail20,0.046554731681106576,0.03115415702152373,0.03972530013654665,0.019955844756188057,0.007541386141245578,0.1386755421229351,0.011654558970471796,0.031182760305405954,0.0013586935361660224,330
strict,Tuned MTL,cosine,fit,raw,decay,0.046554731681106576,0.03115415702152373,0.03972530013654665,0.019955844756188057,0.007541386141245578,0.1386755421229351,0.011654558970471796,0.031182760305405954,0.0013586935361660224,330
strict,Tuned MTL,cosine,fit,raw,final1000,-0.01310793917737696,0.03387144967762852,0.04309444438601095,0.019955844756188057,0.007541386141245578,0.11873580511316506,0.01278305880781957,0.0337380465416571,0.00521500714655776,51
strict,Tuned MTL,cosine,fit,raw,stable,0.9512604858730308,0.03352546594501659,0.042009993717698015,0.0005290362575820495,0.0001964305046049501,0.13041125022841937,0.01168522887505066,0.03350202308987307,0.004803282122890273,1317
strict,Tuned MTL,wsd,test,ema,full,0.9927271312056141,0.010069025355540696,0.015460772860157295,0.01674125748925226,0.006297641897860169,0.08218894834693646,0.0035909711513401553,0.010045090922027601,0.008275015848653311,1647
strict,Tuned MTL,wsd,test,ema,tail20,0.15047317570252794,0.029837504635396073,0.030976000108401812,0.01674125748925226,0.006297641897860169,0.04695456581394408,0.011051909304919165,0.029884372571534357,0.02983750463539625,330
strict,Tuned MTL,wsd,test,ema,decay,0.26679685777821527,0.02910905818196542,0.030531090510764868,0.01674125748925226,0.006297641897860169,0.04695456581394408,0.01078052923201258,0.029162975628850143,0.029109058181965075,340
strict,Tuned MTL,wsd,test,ema,final1000,-47.60826666321696,0.020024052878638204,0.02027763853148848,0.01674125748925226,0.006297641897860169,0.027690129984253797,0.00752269804935986,0.019980220061475908,0.02002405287863729,51
strict,Tuned MTL,wsd,test,ema,stable,0.9982331218798316,0.005115994627932122,0.007663610414293133,0.006756033411950302,0.0024322937189200475,0.08218894834693646,0.0017206959046464868,0.0050858594853199395,0.002855295578319428,1307
strict,Tuned MTL,wsd,test,raw,full,0.9357754831856947,0.035056342884266616,0.04417613606485978,0.039346801440685475,0.01492822578454093,0.13918987437524466,0.012331038608428255,0.03502822627628867,0.012478640815563935,1647
strict,Tuned MTL,wsd,test,raw,tail20,0.03501774320593687,0.04140333961775016,0.051172743700111996,0.039346801440685475,0.01492822578454093,0.13918987437524466,0.015469171469978246,0.04141196404820336,0.03168999421834684,330
strict,Tuned MTL,wsd,test,raw,decay,0.09032293657179402,0.04100770053277084,0.05080194384605727,0.039346801440685475,0.01492822578454093,0.13918987437524466,0.015312871989911598,0.04104830193523145,0.031018526343759678,340
strict,Tuned MTL,wsd,test,raw,final1000,-0.36286923319698694,0.039532079366804355,0.04999733659128684,0.039346801440685475,0.01492822578454093,0.13918987437524466,0.015037814135484134,0.039569473210747955,0.026107662837036916,51
strict,Tuned MTL,wsd,test,raw,stable,0.9402816658550991,0.033508170274862296,0.04228267540388796,0.024216080554262387,0.008622084467137052,0.13004202839071288,0.011555351271240544,0.03347734121751323,0.00765571726576475,1307
strict,Tuned MTL,811,extra_unseen,ema,full,0.9945500052618442,0.00849149961413369,0.013593846633729496,0.002300412207110636,0.0008636555227554567,0.08927554304540752,0.0030104132138028834,0.00846884075750421,0.002698160783088266,1647
strict,Tuned MTL,811,extra_unseen,ema,tail20,-0.7106673028164341,0.02238848408594653,0.02632497908381708,0.002300412207110636,0.0008636555227554567,0.047078055425732845,0.008298919511624384,0.022393286377653372,0.02209002974791341,330
strict,Tuned MTL,811,extra_unseen,ema,decay,-0.22376668199575067,0.02226453440314418,0.026188938758900538,0.002300412207110636,0.0008636555227554567,0.047078055425732845,0.008248864124355897,0.022324624173240187,0.021974858133876563,340
